site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,15,nowcast,PG-ResMLP,10,5274,1319,1.715345025062561,2.3315370889160154,0.9686588048934937,200,79,18.6
CO,15,nowcast,PG-ResMLP,11,5274,1319,1.7525699138641355,2.3595822476948065,0.9679003357887268,200,79,18.4
CO,15,nowcast,PG-ResMLP,12,5274,1319,1.799055099487305,2.488527198984707,0.9642961025238036,23,79,2.6
CO,15,nowcast,PG-ResMLP,13,5274,1319,1.747342824935913,2.34715836969186,0.9682374596595764,200,79,18.6
CO,15,nowcast,PG-ResMLP,14,5274,1319,1.8313188552856443,2.466723419086447,0.9649190306663512,26,79,2.8
CO,15,nowcast,PG-ResMLP,15,5274,1319,1.7053403854370115,2.3524142018805856,0.968095064163208,200,79,18.3
CO,15,nowcast,PG-ResMLP,16,5274,1319,1.7642945051193235,2.369596759759669,0.9676272869110109,200,79,18.6
CO,15,nowcast,PG-ResMLP,17,5274,1319,1.8283966779708865,2.4653210548100617,0.964958906173706,25,79,2.8
CO,15,nowcast,PG-ResMLP,18,5274,1319,1.8235726356506348,2.4669386580579684,0.9649128913879396,26,79,741.2
CO,15,nowcast,PG-ResMLP,19,5274,1319,1.8263051509857176,2.433735116247935,0.965851068496704,147,79,21.0
CO,15,nowcast,LSTM,0,3058,778,2.154143810272217,2.7298148358608385,0.9526948928833008,39,45,13.9
CO,15,nowcast,LSTM,1,3058,778,1.8088617324829104,2.352092594458495,0.9648802876472472,57,45,20.0
CO,15,nowcast,LSTM,2,3058,778,2.3470818996429443,2.8669797733739,0.94782155752182,74,45,24.9
CO,15,nowcast,LSTM,3,3058,778,2.038386583328247,2.619930731316336,0.9564266204833984,39,45,14.5
CO,15,nowcast,LSTM,4,3058,778,1.995072364807129,2.5064816375005017,0.960118532180786,53,45,19.5
CO,15,nowcast,LSTM,5,3058,778,1.8102319240570068,2.347330435741961,0.9650223851203918,96,45,33.3
CO,15,nowcast,LSTM,6,3058,778,1.967311143875122,2.463933858373873,0.961461067199707,111,45,38.6
CO,15,nowcast,LSTM,7,3058,778,2.647676944732666,3.095915681780013,0.9391556978225708,46,45,16.3
CO,15,nowcast,LSTM,8,3058,778,2.450032949447632,3.002282863518713,0.942780375480652,30,45,11.3
CO,15,nowcast,LSTM,9,3058,778,2.281969785690308,2.813951753410143,0.9497339129447936,66,45,22.7
CO,15,nowcast,LSTM,10,3058,778,2.461747646331787,3.046472610898959,0.941083550453186,45,45,16.1
CO,15,nowcast,LSTM,11,3058,778,1.901366233825684,2.467671315624175,0.9613440632820128,67,45,23.8
CO,15,nowcast,LSTM,12,3058,778,1.917372465133667,2.42867019797079,0.9625563025474548,76,45,25.9
CO,15,nowcast,LSTM,13,3058,778,1.7436529397964478,2.305237785205225,0.9662655591964722,44,45,17.4
CO,15,nowcast,LSTM,14,3058,778,1.9710054397583008,2.5272405447074062,0.9594551920890808,53,45,20.6
CO,15,nowcast,LSTM,15,3058,778,1.8189295530319212,2.3795676228115905,0.964055061340332,47,45,17.9
CO,15,nowcast,LSTM,16,3058,778,1.8764069080352783,2.446283994505728,0.962011218070984,54,45,19.1
CO,15,nowcast,LSTM,17,3058,778,1.9915997982025144,2.501893184995066,0.9602644443511964,74,45,26.3
CO,15,nowcast,LSTM,18,3058,778,2.22576117515564,2.8233095766019054,0.9493989944458008,32,45,12.1
CO,15,nowcast,LSTM,19,3058,778,2.308802843093872,2.812667502607553,0.949779748916626,63,45,22.0
CO,15,forecast,PG-ResMLP,0,4700,1181,1.971510410308838,2.9997881178737,0.9468480944633484,96,70,14.2
CO,15,forecast,PG-ResMLP,1,4700,1181,1.931617856025696,2.997891797953817,0.9469152688980104,95,70,13.9
CO,15,forecast,PG-ResMLP,2,4700,1181,1.9382237195968628,2.984220970133409,0.94739830493927,131,70,17.8
CO,15,forecast,PG-ResMLP,3,4700,1181,1.9691392183303835,2.9939092159739333,0.9470561742782592,65,70,10.6
CO,15,forecast,PG-ResMLP,4,4700,1181,1.9675577878952024,2.9974868102177195,0.9469295740127563,200,70,28.6
CO,15,forecast,PG-ResMLP,5,4700,1181,1.919246315956116,2.961323977086199,0.94820237159729,119,70,16.2
CO,15,forecast,PG-ResMLP,6,4700,1181,1.9710410833358765,3.0172412079308373,0.9462277889251708,43,70,7.1
CO,15,forecast,PG-ResMLP,7,4700,1181,1.983453869819641,3.011975387543606,0.9464153051376344,136,70,20.0
CO,15,forecast,PG-ResMLP,8,4700,1181,1.948066473007202,2.9979256770087157,0.9469140768051147,88,70,13.2
CO,15,forecast,PG-ResMLP,9,4700,1181,1.9753150939941408,3.011330506549843,0.9464382529258728,50,70,7.6
