resolution,mode,model,seed,window,lag_min,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
10,forecast,Hybrid,6,6,0,20085,17478,1.7234071493148804,2.274255664333214,0.9636742472648621,35,256,84.7
10,forecast,Hybrid,7,6,0,20085,17478,1.463605523109436,1.939273084445323,0.9735872149467468,64,256,151.5
10,forecast,Hybrid,8,6,0,20085,17478,1.4765135049819946,1.9272113310774142,0.9739147424697876,31,256,75.6
10,forecast,Hybrid,9,6,0,20085,17478,1.5275520086288452,2.0534113993398804,0.9703866243362427,42,256,101.3
10,forecast,Hybrid,10,6,0,20085,17478,1.441330075263977,1.90085250401087,0.974623441696167,57,256,135.7
10,forecast,Hybrid,11,6,0,20085,17478,1.5637376308441162,2.014261301911127,0.9715050458908081,40,256,96.0
10,forecast,Hybrid,12,6,0,20085,17478,1.526206135749817,2.0003790496211176,0.9718964695930481,40,256,96.2
10,forecast,Hybrid,13,6,0,20085,17478,1.3521509170532227,1.8011952087836742,0.9772145748138428,75,256,179.9
10,forecast,Hybrid,14,6,0,20085,17478,1.36758291721344,1.8456731561720408,0.9760753512382507,79,256,187.9
10,forecast,Hybrid,15,6,0,20085,17478,1.4566084146499634,1.9387285582821991,0.9736020565032959,49,256,117.2
10,forecast,Hybrid,16,6,0,20085,17478,1.4357486963272095,1.935344604639829,0.9736941456794739,46,256,110.4
10,forecast,Hybrid,17,6,0,20085,17478,1.4197016954421997,1.8753274631650207,0.9753003716468811,45,256,108.7
10,forecast,Hybrid,18,6,0,20085,17478,1.5374834537506104,2.048669276157103,0.9705232381820679,31,256,76.1
10,forecast,Hybrid,19,6,0,20085,17478,1.413228154182434,1.8813016535869362,0.975142776966095,55,256,132.3
5,nowcast,Faiman,-1,0,0,45296,39431,2.495441707682667,3.0982846918607008,0.9428245067357072,0,0,0.0
5,nowcast,PG-ResMLP,0,0,30,45296,39431,1.4586089849472046,1.9325920207431615,0.9777542352676392,142,256,23.5
5,nowcast,PG-ResMLP,1,0,30,45296,39431,1.4435703754425049,1.9131734846489723,0.9781990051269531,200,256,32.9
5,nowcast,PG-ResMLP,2,0,30,45296,39431,1.467912197113037,1.9385441458425055,0.9776169657707214,199,256,32.9
5,nowcast,PG-ResMLP,3,0,30,45296,39431,1.4549174308776855,1.9342008003839868,0.9777171611785889,200,256,32.8
5,nowcast,PG-ResMLP,4,0,30,45296,39431,1.424459457397461,1.9032227915426603,0.9784252047538757,200,256,32.9
5,nowcast,PG-ResMLP,5,0,30,45296,39431,1.4494025707244873,1.9309056564547706,0.9777930378913879,118,256,19.7
5,nowcast,PG-ResMLP,6,0,30,45296,39431,1.4524548053741455,1.9240240471699241,0.9779510498046875,200,256,32.9
5,nowcast,PG-ResMLP,7,0,30,45296,39431,1.4486278295516968,1.9316798129990695,0.9777752161026001,136,256,22.5
5,nowcast,PG-ResMLP,8,0,30,45296,39431,1.4537290334701538,1.9204969350149281,0.9780318140983582,199,256,32.6
5,nowcast,PG-ResMLP,9,0,30,45296,39431,1.4219955205917358,1.899162248330405,0.9785171747207642,126,256,20.9
5,nowcast,PG-ResMLP,10,0,30,45296,39431,1.4282444715499878,1.9016770716234024,0.9784602522850037,200,256,32.9
5,nowcast,PG-ResMLP,11,0,30,45296,39431,1.4477243423461914,1.9179405940644327,0.978090226650238,164,256,27.3
5,nowcast,PG-ResMLP,12,0,30,45296,39431,1.445124626159668,1.915518008755612,0.9781455397605896,194,256,32.1
5,nowcast,PG-ResMLP,13,0,30,45296,39431,1.4675241708755493,1.952169199723883,0.9773012399673462,200,256,33.1
5,nowcast,PG-ResMLP,14,0,30,45296,39431,1.4668563604354858,1.9329357530402995,0.977746307849884,161,256,26.6
5,nowcast,PG-ResMLP,15,0,30,45296,39431,1.472690224647522,1.9346755575391583,0.977706253528595,140,256,23.3
5,nowcast,PG-ResMLP,16,0,30,45296,39431,1.4167898893356323,1.891699115402048,0.9786856770515442,188,256,31.2
5,nowcast,PG-ResMLP,17,0,30,45296,39431,1.4284968376159668,1.8887683169210783,0.9787516593933105,193,256,31.8
